Event_num,,Start,Dur,Amp,Freq,FModA,ixA1,ixA2,FModB,ixB1 (always 0),ixB2,att,dec,skew,dis,rev,,,,,,ch1,ch2,ch3,ch4,,,ampF,skwF,IAF,IBF,,,,,,,
69,i1,240.7717391,11.49557997,525.098948,765.3858408,292.3551722,0.808240654,1.616481308,473.0306686,0,3.616481308,1.037078794,5.904413501,0.030270403,0.222222222,0.04,0,0,0,0,0,0.577278975,0.816546989,0,0,0,0,2,6,3,4,,,,,,,
70,i1,242.5652174,19.04377669,534.0636388,725.53871,277.134725,0.820151854,1.640303708,448.403985,0,3.640303708,1.654240313,9.839966387,0.030900435,0.222222222,0.04,0,0,0,0,0,0,0.945045631,0.326938457,0,0,0,2,6,3,4,,,,,,,
71,i1,245.5543478,26.63885271,479.569329,999.9530284,381.9530284,0.747305228,1.494610457,618,0,3.494610457,2.888807461,13.24066383,0.027097086,0.222222222,0.04,0,0,0,0,0,0,0.654222997,0.756301706,0,0,0,2,6,3,4,,,,,,,
72,i1,245.5543478,1.1676326,451.7226449,1173.921633,448.403985,0.709647919,1.419295837,725.5176478,0,3.419295837,0.388821656,0.46705304,0.025179522,0.222222222,0.048,0,0,0,0,0,0.868996626,0.494818011,0,0,0,0,2,6,3,4,,,,,,,
73,i1,246.5738788,2.730762713,442.3617459,1238.39429,473.0306686,0.696918662,1.393837325,765.3636218,0,3.393837325,0.909343984,1.092305085,0.024539142,0.222222222,0.048,0,0,0,0,0,0.577278975,0.816546989,0,0,0,0,2,6,3,4,,,,,,,
74,i1,247.2012825,4.475553345,479.569329,999.9530284,381.9530284,0.747305228,1.494610457,618,0,3.494610457,1.490359264,1.790221338,0.027097086,0.222222222,0.048,0,0,0,0,0,0,0.945045631,0.326938457,0,0,0,2,6,3,4,,,,,,,
75,i1,248.8482172,5.931392694,395.0814309,1617.924,618,0.632049688,1.264099376,999.924,0,3.264099376,1.975153767,2.372557078,0.021339233,0.222222222,0.048,0,0,0,0,0,0,0.654222997,0.756301706,0,0,0,2,6,3,4,,,,,,,
76,i1,249.0834936,7.81798469,432.9652412,1306.407835,499.0098681,0.684104119,1.368208239,807.3979667,0,3.368208239,2.603388902,3.127193876,0.023898539,0.222222222,0.048,0,0,0,0,0,0,0,0.967522671,0.252784257,0,0,2,6,3,4,,,,,,,
77,i1,249.4756209,9.677536529,423.5358081,1378.156734,526.4158648,0.671206781,1.342413562,851.7408693,0,3.342413562,3.222619664,3.871014611,0.023257964,0.222222222,0.048,0,0,0,0,0,0,0,0.645568744,0.763702165,0,0,2,6,3,4,,,,,,,
78,i1,250.4951519,11.08946878,479.569329,999.9530284,381.9530284,0.747305228,1.494610457,618,0,3.494610457,3.692793103,4.435787511,0.027097086,0.222222222,0.048,0,0,0,0,0,0.360889757,0,0,0.932608483,0,0,2,6,3,4,,,,,,,
79,i1,251.1225556,12.65335478,451.7226449,1173.921633,448.403985,0.709647919,1.419295837,725.5176478,0,3.419295837,4.213567142,5.061341912,0.025179522,0.222222222,0.048,0,0,0,0,0,0.839628567,0,0,0.543160998,0,0,2,6,3,4,,,,,,,
80,i1,252.7694903,13.10007496,442.3617459,1238.39429,473.0306686,0.696918662,1.393837325,765.3636218,0,3.393837325,4.362324963,5.240029985,0.024539142,0.222222222,0.048,0,0,0,0,0,0.832187362,0.55449454,0,0,0,0,2,6,3,4,,,,,,,
81,i1,258.1086957,29.75688714,497.9194808,898.545202,343.2181826,0.771955848,1.543911696,555.3270194,0,3.543911696,3.000969231,14.9950246,0.028370571,0.222222222,0.04,0,0,0,0,0,0,0.577591599,0.816325882,0,0,0,2,6,3,4,,,,,,,
82,i1,262.8913043,34.89255238,404.5904283,1533.692458,585.8259964,0.645175922,1.290351845,947.8664621,0,3.290351845,4.996010073,16.26634197,0.021978009,0.222222222,0.04,0,0,0,0,0,0,0,0.902369624,0.430962947,0,0,2,6,3,4,,,,,,,
